,ds,y
0,1973-01-01,72.076
1,1973-02-01,64.442
2,1973-03-01,64.084
3,1973-04-01,60.842
4,1973-05-01,61.798
5,1973-06-01,66.538
6,1973-07-01,72.626
7,1973-08-01,75.181
8,1973-09-01,68.397
9,1973-10-01,67.668
10,1973-11-01,67.021
11,1973-12-01,71.118
13,1974-01-01,70.55
14,1974-02-01,62.929
15,1974-03-01,64.519
16,1974-04-01,60.544
17,1974-05-01,64.687
18,1974-06-01,64.736
19,1974-07-01,73.698
20,1974-08-01,72.559
21,1974-09-01,63.221
22,1974-10-01,65.418
23,1974-11-01,65.593
24,1974-12-01,71.677
26,1975-01-01,72.708
27,1975-02-01,65.117
28,1975-03-01,66.532
29,1975-04-01,61.975
30,1975-05-01,62.031
31,1975-06-01,67.875
32,1975-07-01,74.184
33,1975-08-01,77.029
34,1975-09-01,66.156
35,1975-10-01,66.651
36,1975-11-01,67.625
37,1975-12-01,75.857
39,1976-01-01,81.264
40,1976-02-01,71.058
41,1976-03-01,73.361
42,1976-04-01,68.703
43,1976-05-01,68.985
44,1976-06-01,73.936
45,1976-07-01,80.968
46,1976-08-01,81.962
47,1976-09-01,72.95
48,1976-10-01,74.746
49,1976-11-01,78.924
50,1976-12-01,84.49
52,1977-01-01,87.215
53,1977-02-01,75.943
54,1977-03-01,75.092
55,1977-04-01,68.641
56,1977-05-01,74.916
57,1977-06-01,80.942
58,1977-07-01,90.667
59,1977-08-01,89.046
60,1977-09-01,80.975
61,1977-10-01,77.369
62,1977-11-01,78.058
63,1977-12-01,83.279
65,1978-01-01,85.191
66,1978-02-01,71.476
67,1978-03-01,67.829
68,1978-04-01,69.051
69,1978-05-01,74.201
70,1978-06-01,81.372
71,1978-07-01,88.003
72,1978-08-01,91.836
73,1978-09-01,85.066
74,1978-10-01,79.494
75,1978-11-01,79.291
76,1978-12-01,87.107
78,1979-01-01,93.946
79,1979-02-01,83.91
80,1979-03-01,83.689
81,1979-04-01,78.077
82,1979-05-01,83.19
83,1979-06-01,88.15
84,1979-07-01,96.579
85,1979-08-01,97.246
86,1979-09-01,84.463
87,1979-10-01,86.071
88,1979-11-01,86.09
89,1979-12-01,94.293
91,1980-01-01,100.568
92,1980-02-01,94.862
93,1980-03-01,93.21
94,1980-04-01,81.245
95,1980-05-01,82.785
96,1980-06-01,91.484
97,1980-07-01,107.126
98,1980-08-01,106.245
99,1980-09-01,95.662
100,1980-10-01,90.03
101,1980-11-01,91.239
102,1980-12-01,102.138
104,1981-01-01,108.164
105,1981-02-01,94.766
106,1981-03-01,95.724
107,1981-04-01,86.386
108,1981-05-01,89.002
109,1981-06-01,99.05
110,1981-07-01,111.044
111,1981-08-01,107.758
112,1981-09-01,95.891
113,1981-10-01,94.541
114,1981-11-01,92.986
115,1981-12-01,105.056
117,1982-01-01,113.136
118,1982-02-01,97.313
119,1982-03-01,95.335
120,1982-04-01,86.587
121,1982-05-01,90.83
122,1982-06-01,94.419
123,1982-07-01,109.995
124,1982-08-01,109.179
125,1982-09-01,96.39
126,1982-10-01,92.24
127,1982-11-01,95.165
128,1982-12-01,101.367
130,1983-01-01,105.965
131,1983-02-01,90.912
132,1983-03-01,93.568
133,1983-04-01,86.575
134,1983-05-01,90.75
135,1983-06-01,99.98
136,1983-07-01,119.945
137,1983-08-01,126.652
138,1983-09-01,107.675
139,1983-10-01,100.677
140,1983-11-01,101.663
141,1983-12-01,117.417
143,1984-01-01,119.436
144,1984-02-01,103.635
145,1984-03-01,108.149
146,1984-04-01,94.329
147,1984-05-01,98.181
148,1984-06-01,112.983
149,1984-07-01,119.701
150,1984-08-01,125.724
151,1984-09-01,107.179
152,1984-10-01,108.583
153,1984-11-01,107.546
154,1984-12-01,112.167
156,1985-01-01,125.429
157,1985-02-01,109.359
158,1985-03-01,107.966
159,1985-04-01,100.317
160,1985-05-01,107.595
161,1985-06-01,113.584
162,1985-07-01,126.626
163,1985-08-01,124.309
164,1985-09-01,111.9
165,1985-10-01,108.331
166,1985-11-01,107.034
167,1985-12-01,124.95
169,1986-01-01,126.887
170,1986-02-01,109.086
171,1986-03-01,106.803
172,1986-04-01,95.341
173,1986-05-01,101.892
174,1986-06-01,116.698
175,1986-07-01,134.789
176,1986-08-01,122.28
177,1986-09-01,112.03
178,1986-10-01,107.235
179,1986-11-01,107.317
180,1986-12-01,117.127
182,1987-01-01,124.043
183,1987-02-01,106.754
184,1987-03-01,108.607
185,1987-04-01,102.222
186,1987-05-01,112.257
187,1987-06-01,126.2
188,1987-07-01,140.582
189,1987-08-01,139.268
190,1987-09-01,117.773
191,1987-10-01,113.515
192,1987-11-01,111.217
193,1987-12-01,124.314
195,1988-01-01,133.468
196,1988-02-01,120.783
197,1988-03-01,115.584
198,1988-04-01,106.49
199,1988-05-01,111.2
200,1988-06-01,128.537
201,1988-07-01,141.139
202,1988-08-01,148.031
203,1988-09-01,121.057
204,1988-10-01,117.165
205,1988-11-01,116.659
206,1988-12-01,131.695
208,1989-01-01,132.233
209,1989-02-01,124.345
210,1989-03-01,122.803
211,1989-04-01,111.194
212,1989-05-01,115.915
213,1989-06-01,126.031
214,1989-07-01,138.083
215,1989-08-01,139.614
216,1989-09-01,124.594
217,1989-10-01,119.943
218,1989-11-01,120.824
219,1989-12-01,143.264
221,1990-01-01,132.923
222,1990-02-01,116.26
223,1990-03-01,121.806
224,1990-04-01,115.909
225,1990-05-01,118.556
226,1990-06-01,130.719
227,1990-07-01,143.146
228,1990-08-01,146.257
229,1990-09-01,134.042
230,1990-10-01,128.8
231,1990-11-01,122.119
232,1990-12-01,137.027
234,1991-01-01,143.148
235,1991-02-01,117.505
236,1991-03-01,118.823
237,1991-04-01,111.147
238,1991-05-01,122.745
239,1991-06-01,131.945
240,1991-07-01,144.042
241,1991-08-01,144.107
242,1991-09-01,129.099
243,1991-10-01,124.058
244,1991-11-01,127.928
245,1991-12-01,133.633
247,1992-01-01,137.39
248,1992-02-01,121.125
249,1992-03-01,126.201
250,1992-04-01,118.33
251,1992-05-01,121.946
252,1992-06-01,129.054
253,1992-07-01,148.563
254,1992-08-01,142.166
255,1992-09-01,132.766
256,1992-10-01,126.405
257,1992-11-01,126.014
258,1992-12-01,139.605
260,1993-01-01,139.269
261,1993-02-01,128.056
262,1993-03-01,134.599
263,1993-04-01,119.596
264,1993-05-01,120.469
265,1993-06-01,136.697
266,1993-07-01,157.967
267,1993-08-01,156.392
268,1993-09-01,133.435
269,1993-10-01,130.321
270,1993-11-01,131.799
271,1993-12-01,143.919
273,1994-01-01,153.119
274,1994-02-01,131.25
275,1994-03-01,132.54
276,1994-04-01,120.392
277,1994-05-01,126.496
278,1994-06-01,146.639
279,1994-07-01,153.375
280,1994-08-01,151.757
281,1994-09-01,133.235
282,1994-10-01,129.229
283,1994-11-01,124.074
284,1994-12-01,136.675
286,1995-01-01,143.097
287,1995-02-01,127.774
288,1995-03-01,127.348
289,1995-04-01,118.414
290,1995-05-01,125.516
291,1995-06-01,138.913
292,1995-07-01,159.638
293,1995-08-01,167.717
294,1995-09-01,137.474
295,1995-10-01,132.871
296,1995-11-01,134.591
297,1995-12-01,147.39
299,1996-01-01,153.915
300,1996-02-01,138.446
301,1996-03-01,138.362
302,1996-04-01,124.885
303,1996-05-01,135.014
304,1996-06-01,147.23
305,1996-07-01,160.939
306,1996-08-01,162.998
307,1996-09-01,144.095
308,1996-10-01,143.399
309,1996-11-01,147.318
310,1996-12-01,155.809
312,1997-01-01,162.245
313,1997-02-01,135.873
314,1997-03-01,138.495
315,1997-04-01,130.325
316,1997-05-01,136.525
317,1997-06-01,147.624
318,1997-07-01,169.108
319,1997-08-01,164.925
320,1997-09-01,152.353
321,1997-10-01,152.153
322,1997-11-01,146.425
323,1997-12-01,160.993
325,1998-01-01,159.602
326,1998-02-01,138.682
327,1998-03-01,144.143
328,1998-04-01,133.418
329,1998-05-01,146.249
330,1998-06-01,158.591
331,1998-07-01,174.995
332,1998-08-01,174.745
333,1998-09-01,156.709
334,1998-10-01,147.334
335,1998-11-01,139.397
336,1998-12-01,154.318
338,1999-01-01,161.387
339,1999-02-01,138.081
340,1999-03-01,145.169
341,1999-04-01,137.504
342,1999-05-01,144.891
343,1999-06-01,157.377
344,1999-07-01,179.42
345,1999-08-01,173.707
346,1999-09-01,154.874
347,1999-10-01,147.523
348,1999-11-01,142.095
349,1999-12-01,154.387
351,2000-01-01,172.903
352,2000-02-01,155.75
353,2000-03-01,152.347
354,2000-04-01,137.295
355,2000-05-01,151.232
356,2000-06-01,165.771
357,2000-07-01,172.816
358,2000-08-01,179.476
359,2000-09-01,158.627
360,2000-10-01,156.631
361,2000-11-01,155.015
362,2000-12-01,169.514
364,2001-01-01,171.379
365,2001-02-01,146.187
366,2001-03-01,151.068
367,2001-04-01,136.46
368,2001-05-01,148.784
369,2001-06-01,159.457
370,2001-07-01,176.898
371,2001-08-01,180.673
372,2001-09-01,153.202
373,2001-10-01,146.64
374,2001-11-01,142.367
375,2001-12-01,156.713
377,2002-01-01,159.356
378,2002-02-01,139.482
379,2002-03-01,146.594
380,2002-04-01,138.353
381,2002-05-01,147.956
382,2002-06-01,161.561
383,2002-07-01,179.351
384,2002-08-01,177.391
